city,old_coverage,new_coverage
Antwerpen,20.93425605536332,38.23529411764706
Brugge,11.11111111111111,20.0
Brussels,32.6530612244898,54.6485260770975
Charleroi,16.01123595505618,21.910112359550563
Gent,14.826498422712934,35.33123028391167
Leuven,16.9811320754717,26.41509433962264
Liege,20.588235294117645,28.823529411764703
Oostende,18.0,32.0
