lat,lon,aed_lat,aed_lon,distance,type,city,density
51.25335,4.45803,51.2562721,4.459815949999999,379.0,card,Antwerpen,1.9683831335964346
51.28721,4.43557,51.2851759,4.4301033,536.0,card,Antwerpen,1.3007598735063048
51.19857,4.40747,51.19741037208664,4.407645710111848,129.0,card,Antwerpen,2.515568335363901
51.1889,4.4334,51.1878307,4.431719,178.0,card,Antwerpen,2.457681162930703
51.22392,4.44608,51.22026695,4.4465331,686.0,card,Antwerpen,2.5507625039000623
51.20774,4.39285,51.207134372836535,4.394495765430691,279.0,card,Antwerpen,2.5505168846150887
51.21389,4.41773,51.2144151,4.4172113,88.0,card,Antwerpen,2.6470159336832766
51.21232,4.40544,51.211810911580855,4.402968656605361,187.0,card,Antwerpen,2.6241097025162543
51.23446,4.41142,51.23392,4.4128493,164.0,card,Antwerpen,2.5448862232074014
51.20329,4.48076,51.2043408,4.479234,339.0,card,Antwerpen,2.4701786252415894
51.35372,4.27433,51.1967334,4.4294545,1000.0,card,Antwerpen,0.4703663999928409
51.22732,4.45617,51.2283706,4.4565487,143.0,card,Antwerpen,2.4611541380061164
51.19536,4.4191,51.195038,4.4186636,77.0,card,Antwerpen,2.5140807975147887
51.22669,4.38345,51.2262385,4.3852664,171.0,card,Antwerpen,2.5726282596185235
51.1972,4.44932,51.19610915,4.44833125,137.0,card,Antwerpen,2.5597481903123613
51.22125,4.4302,51.221595,4.4278231,177.0,card,Antwerpen,2.622421258151522
51.21903,4.37886,51.2189229,4.3809554,146.0,card,Antwerpen,2.551125052110974
51.20367,4.4644,51.2066951,4.4629763,407.0,card,Antwerpen,2.5512796189453844
51.23616,4.43665,51.23777,4.4360305,207.0,card,Antwerpen,2.444160955479088
51.22408,4.42533,51.2232079,4.4273649,242.0,card,Antwerpen,2.6149706802224784
51.21742,4.39775,51.21829885,4.3969491000000005,160.0,card,Antwerpen,2.618948915015648
51.31577,4.29437,51.1967334,4.4294545,1000.0,card,Antwerpen,1.0127088081327944
51.23166,4.40842,51.23219081162179,4.409253399494537,124.0,card,Antwerpen,2.5764455118175422
51.22542,4.42689,51.22556515,4.4268427,16.0,card,Antwerpen,2.6022482540187104
51.20156,4.44189,51.2011099,4.4399205,168.0,card,Antwerpen,2.597948893341394
51.18857,4.42993,51.1878307,4.431719,168.0,card,Antwerpen,2.4452148990766145
51.2053,4.39688,51.2055777,4.3969526,25.0,card,Antwerpen,2.5462775275803486
51.25846,4.43885,51.2593949,4.43829685,144.0,card,Antwerpen,1.9868811181298602
51.19898,4.39755,51.1993625,4.4010521,407.0,card,Antwerpen,2.47652848090697
51.23287,4.46478,51.2336746,4.4636919,149.0,card,Antwerpen,2.3240921028999137
51.21426,4.40708,51.2152645,4.4075721,169.0,card,Antwerpen,2.634094541329261
51.21143,4.43121,51.21165272636832,4.428723042351662,175.0,card,Antwerpen,2.6425551039676813
51.21175,4.45551,51.2107749,4.4556686,146.0,card,Antwerpen,2.582829012191029
51.21717,4.415,51.218672,4.417298,448.0,card,Antwerpen,2.646727996829897
51.2068,4.39698,51.2059195,4.3962304,109.0,card,Antwerpen,2.5605086275280113
51.20831,4.40405,51.2080966,4.4031172,70.0,card,Antwerpen,2.598296593346819
51.20434,4.47954,51.2043408,4.479234,21.0,card,Antwerpen,2.4765780494348744
51.21157,4.39724,51.2118231,4.3980983,120.0,card,Antwerpen,2.5958265715257247
51.26052,4.42289,51.2607652,4.4213081,136.0,card,Antwerpen,2.0320279279139997
51.19039,4.44242,51.189958950000005,4.4431372,76.0,card,Antwerpen,2.4900143323236006
51.26119,4.41964,51.2608228,4.4193016,65.0,card,Antwerpen,2.032897490195895
51.2296,4.46419,51.229211250000006,4.4636359,74.0,card,Antwerpen,2.3781256698327393
51.23614,4.43662,51.23777,4.4360305,207.0,card,Antwerpen,2.444604993974457
51.22018,4.37886,51.2203932,4.3784099,59.0,card,Antwerpen,2.5543400308878184
51.17982,4.42274,51.1778636,4.4228852,287.0,card,Antwerpen,2.2634171086612267
51.18726,4.37402,51.1877081,4.3733319,67.0,card,Antwerpen,2.117125138193821
51.21655,4.36867,51.22002315,4.3680366500000005,637.0,card,Antwerpen,2.4828447610810263
51.2796,4.44264,51.28151242691501,4.435450495268708,675.0,card,Antwerpen,1.4409423011186795
51.22586,4.45715,51.2254086,4.4559703,95.0,card,Antwerpen,2.472807287033123
51.20865,4.40106,51.2085373,4.4026391,170.0,card,Antwerpen,2.5907723069594706
51.18817,4.38732,51.1863431,4.3898146,388.0,card,Antwerpen,2.2352716024395605
51.34492,4.28591,51.3448238,4.2863967,35.0,card,Antwerpen,0.5721370329525134
51.18905,4.37705,51.1894763,4.3775119,57.0,card,Antwerpen,2.176997858655294
51.21049,4.41416,51.2102881,4.4152301,79.0,card,Antwerpen,2.6340331921582694
51.27935,4.43787,51.28151242691501,4.435450495268708,401.0,card,Antwerpen,1.4784762002272949
51.19849,4.403,51.1993625,4.4010521,172.0,card,Antwerpen,2.495860263266089
51.24681,4.4315,51.2464255,4.43113625,54.0,card,Antwerpen,2.283707294207186
51.22982,4.44247,51.2303027,4.4418148,57.0,card,Antwerpen,2.5038018606098755
51.18916,4.43192,51.1878307,4.431719,240.0,card,Antwerpen,2.458645431634604
51.24509,4.44701,51.2423893,4.444243,451.0,card,Antwerpen,2.226896136480919
51.2151,4.4,51.21468305,4.40017395,49.0,card,Antwerpen,2.6197244121378174
51.18296,4.35184,51.1804885,4.34646255,483.0,card,Antwerpen,1.830544296010692
51.25592,4.36378,51.1967334,4.4294545,1000.0,card,Antwerpen,2.2401282611536835
51.24165,4.44166,51.2425057,4.4417027,149.0,card,Antwerpen,2.3259013569948577
51.20436,4.46095,51.2066951,4.4629763,433.0,card,Antwerpen,2.56558918545427
51.21759,4.42049,51.2169691,4.4207019,84.0,card,Antwerpen,2.6468575864191757
51.21612,4.41441,51.21562910212165,4.413898151113941,60.0,card,Antwerpen,2.646521406732256
51.28724,4.38605,51.29199862800334,4.378723920521925,946.0,card,Antwerpen,1.538892133692114
51.18632,4.38723,51.18412160476319,4.3889368059223095,310.0,card,Antwerpen,2.197889757383048
51.18602,4.45173,51.1896915,4.4499791,710.0,card,Antwerpen,2.4333486778221656
51.27779,4.43052,51.2805456,4.4302736,473.0,card,Antwerpen,1.5636015882294767
51.17598,4.36742,51.1730828,4.3647529,407.0,card,Antwerpen,1.8122525088609007
51.22348,4.4006,51.2236042,4.4006449,13.0,card,Antwerpen,2.6218536891280486
51.22283,4.42403,51.2232079,4.4273649,235.0,card,Antwerpen,2.6247589912300753
51.19845,4.45785,51.19992339798538,4.457418010930297,198.0,card,Antwerpen,2.5529411352033677
51.20786,4.39206,51.2066892,4.3906138,191.0,card,Antwerpen,2.547900353088316
51.20392,4.42533,51.20348285,4.4234122,182.0,card,Antwerpen,2.612107674106788
51.20155,4.39406,51.2023478,4.3915901,406.0,card,Antwerpen,2.4916776337553244
51.2445,4.44937,51.2423893,4.444243,490.0,card,Antwerpen,2.2229844396126954
51.20353,4.40106,51.2034051,4.4027287,155.0,card,Antwerpen,2.54639283171083
51.25842,4.43994,51.2571674,4.439355000000001,175.0,card,Antwerpen,1.9807037617055623
51.17458,4.34587,51.1751276,4.3473573,118.0,card,Antwerpen,1.5863840878815412
51.23279,4.37746,51.2316421,4.378742,205.0,card,Antwerpen,2.529321298080116
51.2449,4.3845,51.1967334,4.4294545,1000.0,card,Antwerpen,2.426331100014508
51.27278,4.40952,51.2713002,4.4119769,311.0,card,Antwerpen,1.8021686625640019
51.20271,4.46603,51.2015921,4.467095,203.0,card,Antwerpen,2.5430341346954406
51.2233,4.41153,51.2232215,4.4113175,11.0,card,Antwerpen,2.6312295551438156
51.18335,4.43954,51.1831609,4.4385825,131.0,card,Antwerpen,2.3797888715641973
51.34555,4.3204,51.3449382,4.3212671,109.0,card,Antwerpen,0.5453621028756399
51.17842,4.374,51.18061215,4.37649475,399.0,card,Antwerpen,1.9241872888871694
51.18886,4.43547,51.1878134,4.436941,321.0,card,Antwerpen,2.460787043254548
51.16214,4.36006,51.160608550000006,4.3673167500000005,732.0,card,Antwerpen,1.417899687774721
51.20701,4.40193,51.2080966,4.4031172,148.0,card,Antwerpen,2.5815174519923945
51.29032,4.43659,51.2916238,4.4427988,462.0,card,Antwerpen,1.2207375884059377
51.2631,4.41752,51.2608228,4.4193016,321.0,card,Antwerpen,1.9985171312074386
51.2221,4.46727,51.22305655135222,4.465017050030402,262.0,card,Antwerpen,2.450597322341201
51.18822,4.37453,51.1877081,4.3733319,103.0,card,Antwerpen,2.1406637394322305
51.22669,4.3837,51.2262385,4.3852664,154.0,card,Antwerpen,2.5734371807068013
51.17973,4.35853,51.17852140197685,4.359405266816292,153.0,card,Antwerpen,1.8203777087072752
51.22637,4.37552,51.2263971,4.3781093,183.0,card,Antwerpen,2.5433604964634124
51.18293,4.35894,51.1837666,4.3589953,133.0,card,Antwerpen,1.895359213719529
51.23376,4.45589,51.2320102,4.4537381,354.0,card,Antwerpen,2.3721657287419986
51.20283,4.40777,51.2015285,4.4060666,204.0,card,Antwerpen,2.5644224729951315
51.25093,4.39536,51.2519719,4.3937929,180.0,card,Antwerpen,2.326788776441941
51.22131,4.42184,51.221757,4.4204917,143.0,card,Antwerpen,2.635003932501734
51.25058,4.43506,51.2513975,4.437344,266.0,card,Antwerpen,2.187265571846689
51.20332,4.39469,51.2055777,4.3969526,294.0,card,Antwerpen,2.515518345778869
51.15685,4.37039,51.1560493,4.3733119,302.0,card,Antwerpen,1.371823251069925
51.21836,4.38428,51.2189229,4.3809554,306.0,card,Antwerpen,2.573832126204798
51.2124,4.43149,51.21165272636832,4.428723042351662,257.0,card,Antwerpen,2.642970265326386
51.21446,4.42063,51.2149228,4.4205059,52.0,card,Antwerpen,2.6485957685553583
51.19001,4.37626,51.1894763,4.3775119,126.0,card,Antwerpen,2.1895728120926123
51.23321,4.46162,51.2336746,4.4636919,199.0,card,Antwerpen,2.341592350109523
51.20418,4.42255,51.20348285,4.4234122,169.0,card,Antwerpen,2.610717400478012
51.23269,4.46018,51.2336746,4.4636919,338.0,card,Antwerpen,2.359915621075091
51.18301,4.36378,51.1845237,4.3643895,222.0,card,Antwerpen,1.9403193030827013
51.26015,4.42169,51.2607652,4.4213081,96.0,card,Antwerpen,2.046783988623845
51.21452,4.41492,51.21562910212165,4.413898151113941,181.0,card,Antwerpen,2.64572696124078
51.1799,4.4278,51.1796025,4.4289095,73.0,card,Antwerpen,2.284137512609702
51.31668,4.29604,51.3149758,4.2893042,577.0,card,Antwerpen,0.9987957465685187
51.17184,4.38314,51.1716559,4.3814717,141.0,card,Antwerpen,1.8410738729652054
51.19359,4.42097,51.1932753,4.422559,206.0,card,Antwerpen,2.495671395614669
