lat,lon,aed_lat,aed_lon,distance,type,city
51.19121,4.38857,51.1913074,4.388773,66.0,card,Antwerpen
51.17578,4.40665,51.1769423,4.4055698,183.0,card,Antwerpen
51.25335,4.45803,51.256272100000004,4.459815949999999,379.0,card,Antwerpen
51.28721,4.43557,51.2851759,4.4301033,536.0,card,Antwerpen
51.19857,4.40747,51.197410372086644,4.407645710111848,129.0,card,Antwerpen
51.1889,4.4334,51.1878307,4.431719,178.0,card,Antwerpen
51.22392,4.44608,51.220266949999996,4.4465331,686.0,card,Antwerpen
51.20774,4.39285,51.207134372836535,4.394495765430691,279.0,card,Antwerpen
51.21389,4.41773,51.2144151,4.4172113,88.0,card,Antwerpen
51.21232,4.40544,51.211810911580855,4.402968656605361,187.0,card,Antwerpen
51.23446,4.41142,51.23392,4.4128493,164.0,card,Antwerpen
51.20329,4.48076,51.2043408,4.479234,339.0,card,Antwerpen
51.35372,4.27433,51.1967334,4.4294545,1000.0,card,Antwerpen
51.22732,4.45617,51.2283706,4.4565487,143.0,card,Antwerpen
51.19536,4.4191,51.195038,4.4186636,77.0,card,Antwerpen
51.22669,4.38345,51.2262385,4.3852664,171.0,card,Antwerpen
51.1972,4.44932,51.19610915,4.44833125,137.0,card,Antwerpen
51.22125,4.4302,51.221595,4.4278231,177.0,card,Antwerpen
51.21903,4.37886,51.2189229,4.3809554,146.0,card,Antwerpen
51.20367,4.4644,51.2066951,4.4629763,407.0,card,Antwerpen
51.23616,4.43665,51.23777,4.4360305,207.0,card,Antwerpen
51.22408,4.42533,51.2232079,4.4273649,242.0,card,Antwerpen
51.21742,4.39775,51.21829885,4.3969491000000005,160.0,card,Antwerpen
51.31577,4.29437,51.1967334,4.4294545,1000.0,card,Antwerpen
51.23166,4.40842,51.23219081162179,4.409253399494537,124.0,card,Antwerpen
51.22542,4.42689,51.225565149999994,4.4268427,16.0,card,Antwerpen
51.20156,4.44189,51.2011099,4.4399205,168.0,card,Antwerpen
51.18857,4.42993,51.1878307,4.431719,168.0,card,Antwerpen
51.2053,4.39688,51.2055777,4.3969526,25.0,card,Antwerpen
51.25846,4.43885,51.259394900000004,4.43829685,144.0,card,Antwerpen
51.19898,4.39755,51.1993625,4.4010521,407.0,card,Antwerpen
51.23287,4.46478,51.2336746,4.4636919,149.0,card,Antwerpen
51.21426,4.40708,51.2152645,4.4075721,169.0,card,Antwerpen
51.21143,4.43121,51.21165272636832,4.428723042351662,175.0,card,Antwerpen
51.21175,4.45551,51.2107749,4.4556686,146.0,card,Antwerpen
51.21717,4.415,51.218672,4.417298,448.0,card,Antwerpen
51.2068,4.39698,51.2059195,4.3962304,109.0,card,Antwerpen
