"type","latitude","longitude","city","province","region"
"ambulance",50.5174431,3.6814769,"Beloeil","Hainaut","Wallonia"
"ambulance",50.4153824,4.1638782,"Binche","Hainaut","Wallonia"
"ambulance",50.6068183,4.135878,"Braine-le-Comte","Hainaut","Wallonia"
"ambulance",50.45531,4.45141,"Charleroi","Hainaut","Wallonia"
"ambulance",50.0554401,4.3070437,"Chimay","Hainaut","Wallonia"
"ambulance",50.7590067,2.9426115,"Komen-Waasten","Hainaut","Wallonia"
"ambulance",50.3921289,3.7748325,"Dour","Hainaut","Wallonia"
"ambulance",50.6946554,4.0327946,"Enghien","Hainaut","Wallonia"
"ambulance",50.7146464,3.2721489,"Estaimpuis","Hainaut","Wallonia"
"ambulance",50.6013804,3.6223468,"Leuze-en-Hainaut","Hainaut","Wallonia"
"ambulance",50.4669821,4.1932998,"La Louvière","Hainaut","Wallonia"
"ambulance",50.4459734,3.9178949,"Mons","Hainaut","Wallonia"
"ambulance",50.7350546,3.2188905,"Moeskroen","Hainaut","Wallonia"
"ambulance",50.4053612,3.6846471,"Quiévrain","Hainaut","Wallonia"
"ambulance",50.5829921,4.0684567,"Soignies","Hainaut","Wallonia"
"ambulance",50.3330712,4.3004128,"Thuin","Hainaut","Wallonia"
"ambulance",50.6189572,3.3721125,"Tournai","Hainaut","Wallonia"
"ambulance",50.869813,5.5199703,"Bilzen","Limburg","Flanders"
"ambulance",51.1461236,5.5976703,"Bree","Limburg","Flanders"
"ambulance",50.983825,5.489918,"Genk","Limburg","Flanders"
"ambulance",50.9441474,5.3295688,"Hasselt","Limburg","Flanders"
"ambulance",50.9452535,5.1716121,"Herk-de-Stad","Limburg","Flanders"
"ambulance",51.0372714,5.2809654,"Heusden-Zolder","Limburg","Flanders"
"ambulance",51.1162188,5.2585985,"Leopoldsburg","Limburg","Flanders"
"ambulance",51.2260021,5.3247625,"Lommel","Limburg","Flanders"
"ambulance",50.9843097,5.7139894,"Maasmechelen","Limburg","Flanders"
"ambulance",51.0424096,5.5479736,"Oudsbergen","Limburg","Flanders"
"ambulance",51.0552828,5.0923545,"Tessenderlo","Limburg","Flanders"
"ambulance",50.7837417,5.4633336,"Tongeren","Limburg","Flanders"
"ambulance",50.4917028,5.0878434,"Andenne","Namur","Wallonia"
"ambulance",50.1211937,4.9784988,"Beauraing","Namur","Wallonia"
"ambulance",50.1713921,4.4098505,"Cerfontaine","Namur","Wallonia"
"ambulance",50.3122838,5.1215478,"Ciney","Namur","Wallonia"
"ambulance",50.0614965,4.4957453,"Couvin","Namur","Wallonia"
"ambulance",50.5898735,4.9119599,"Éghezée","Namur","Wallonia"
"ambulance",50.2561788,4.6079581,"Florennes","Namur","Wallonia"
"ambulance",50.3979352,4.6974648,"Fosses-la-Ville","Namur","Wallonia"
"ambulance",49.9825317,4.9345576,"Gedinne","Namur","Wallonia"
"ambulance",50.5811721,4.714952,"Gembloux","Namur","Wallonia"
"ambulance",50.3038227,4.6459021,"Mettet","Namur","Wallonia"
"ambulance",50.456608,4.8798386,"Namur","Namur","Wallonia"
"ambulance",50.199119,4.5535744,"Philippeville","Namur","Wallonia"
"ambulance",50.1559024,5.2172992,"Rochefort","Namur","Wallonia"
"ambulance",50.4432325,4.646846,"Sambreville","Namur","Wallonia"
"ambulance",49.8373153,4.9695608,"Vresse-sur-Semois","Namur","Wallonia"
"ambulance",50.3222829,4.8812894,"Yvoir","Namur","Wallonia"
"ambulance",50.9395761,4.0335642,"Aalst","East Flanders","Flanders"
"ambulance",51.0864757,3.4469076,"Aalter","East Flanders","Flanders"
"ambulance",51.2242895,3.747029,"Assenede","East Flanders","Flanders"
"ambulance",51.2122088,4.259622,"Beveren","East Flanders","Flanders"
"ambulance",51.2422067,4.2757758,"Beveren","East Flanders","Flanders"
"ambulance",51.0328287,4.132515,"Dendermonde","East Flanders","Flanders"
"ambulance",51.1797215,3.5756716,"Eeklo","East Flanders","Flanders"
"ambulance",51.0685818,3.7107182,"Gent","East Flanders","Flanders"
"ambulance",51.1225683,3.7343254,"Evergem","East Flanders","Flanders"
"ambulance",50.7744735,3.8806202,"Geraardsbergen","East Flanders","Flanders"
"ambulance",50.895623,3.875861,"Herzele","East Flanders","Flanders"
"ambulance",51.1710697,4.3128898,"Kruibeke","East Flanders","Flanders"
"ambulance",50.9020353,3.5239706,"Kruisem","East Flanders","Flanders"
"ambulance",51.2115034,3.4523276,"Maldegem","East Flanders","Flanders"
"ambulance",51.0119241,3.788643,"Melle","East Flanders","Flanders"
"ambulance",50.8333827,4.0258741,"Ninove","East Flanders","Flanders"
"ambulance",50.8519728,3.6093181,"Oudenaarde","East Flanders","Flanders"
"ambulance",51.2229416,4.1314694,"Sint-Gillis-Waas","East Flanders","Flanders"
"ambulance",51.1698779,4.1356144,"Sint-Niklaas","East Flanders","Flanders"
"ambulance",51.1247009,4.2152415,"Temse","East Flanders","Flanders"
"ambulance",51.1770867,3.8412857,"Wachtebeke","East Flanders","Flanders"
"ambulance",51.0043694,3.9788552,"Wichelen","East Flanders","Flanders"
"ambulance",51.0698766,4.0355777,"Zele","East Flanders","Flanders"
"ambulance",50.8484777,4.2636854,"Dilbeek","Flemish Brabant","Flanders"
"ambulance",50.7389508,4.0143627,"Galmaarden","Flemish Brabant","Flanders"
"ambulance",50.9668905,4.6130102,"Haacht","Flemish Brabant","Flanders"
"ambulance",50.7510345,4.2539965,"Sint-Pieters-Leeuw","Flemish Brabant","Flanders"
"ambulance",50.7574788,5.081719,"Landen","Flemish Brabant","Flanders"
"ambulance",50.8345572,4.1436051,"Lennik","Flemish Brabant","Flanders"
"ambulance",50.8774603,4.6658621,"Leuven","Flemish Brabant","Flanders"
"ambulance",51.0043083,4.3068028,"Londerzeel","Flemish Brabant","Flanders"
"ambulance",50.7770126,4.5270384,"Overijse","Flemish Brabant","Flanders"
"ambulance",50.8236483,4.9371776,"Tienen","Flemish Brabant","Flanders"
"ambulance",50.9251278,4.4234588,"Vilvoorde","Flemish Brabant","Flanders"
"ambulance",50.8754995,4.500188,"Zaventem","Flemish Brabant","Flanders"
"ambulance",51.3103591,3.1224345,"Blankenberge","West Flanders","Flanders"
"ambulance",51.2691894,3.2073533,"Brugge","West Flanders","Flanders"
"ambulance",51.2217871,3.2272175,"Brugge","West Flanders","Flanders"
"ambulance",51.0291835,2.8584529,"Diksmuide","West Flanders","Flanders"
"ambulance",51.158035,2.9691926,"Gistel","West Flanders","Flanders"
"ambulance",50.8568661,3.3085433,"Harelbeke","West Flanders","Flanders"
"ambulance",50.7472089,2.8219631,"Heuvelland","West Flanders","Flanders"
"ambulance",50.952499,2.8516999,"Houthulst","West Flanders","Flanders"
"ambulance",50.8527201,2.8772348,"Ieper","West Flanders","Flanders"
"ambulance",50.9183685,3.2187142,"Izegem","West Flanders","Flanders"
"ambulance",51.1816879,3.1074547,"Jabbeke","West Flanders","Flanders"
"ambulance",51.3397081,3.2868892,"Knokke-Heist","West Flanders","Flanders"
"ambulance",51.1058531,2.6493834,"Koksijde","West Flanders","Flanders"
"ambulance",50.8108953,3.2756054,"Kortrijk","West Flanders","Flanders"
"ambulance",50.8771729,3.1759393,"Ledegem","West Flanders","Flanders"
"ambulance",51.0254614,3.1414086,"Lichtervelde","West Flanders","Flanders"
"ambulance",50.8136468,3.1265431,"Menen","West Flanders","Flanders"
"ambulance",51.1833126,2.8238932,"Middelkerke","West Flanders","Flanders"
"ambulance",51.1282901,2.7573816,"Nieuwpoort","West Flanders","Flanders"
"ambulance",51.2246918,2.9061035,"Oostende","West Flanders","Flanders"
"ambulance",51.1480531,3.238243,"Oostkamp","West Flanders","Flanders"
"ambulance",51.0947818,3.2055415,"Oostkamp","West Flanders","Flanders"
"ambulance",51.0948698,2.5835932,"De Panne","West Flanders","Flanders"
"ambulance",50.8593871,2.7262218,"Poperinge","West Flanders","Flanders"
"ambulance",50.9166912,2.6257251,"Poperinge","West Flanders","Flanders"
"ambulance",50.9498725,3.1292766,"Roeselare","West Flanders","Flanders"
"ambulance",51.0702509,3.1009085,"Torhout","West Flanders","Flanders"
"ambulance",50.7815035,3.0441079,"Wervik","West Flanders","Flanders"
"ambulance",50.8125511,3.1850362,"Wevelgem","West Flanders","Flanders"
"ambulance",49.6907796,5.8205844,"Arlon","Luxembourg","Wallonia"
"ambulance",49.5646195,5.8245395,"Aubange","Luxembourg","Wallonia"
"ambulance",49.9921075,5.7059044,"Bastogne","Luxembourg","Wallonia"
"ambulance",49.856,5.2651139,"Bertrix","Luxembourg","Wallonia"
"ambulance",49.811984,5.079105,"Bouillon","Luxembourg","Wallonia"
"ambulance",50.2913872,5.5537595,"Érezée","Luxembourg","Wallonia"
"ambulance",49.6763545,5.5978765,"Étalle","Luxembourg","Wallonia"
"ambulance",49.6978938,5.3113728,"Florenville","Luxembourg","Wallonia"
"ambulance",50.1285486,5.78569,"Houffalize","Luxembourg","Wallonia"
"ambulance",49.8404341,5.4349469,"Neufchâteau","Luxembourg","Wallonia"
"ambulance",50.1800993,5.5747724,"La Roche-en-Ardenne","Luxembourg","Wallonia"
"ambulance",50.2826398,5.9207515,"Vielsalm","Luxembourg","Wallonia"
"ambulance",49.5649592,5.5346367,"Virton","Luxembourg","Wallonia"
"ambulance",51.2063667,4.4702018,"Antwerpen","Antwerp","Flanders"
"ambulance",51.2588916,4.4513523,"Antwerpen","Antwerp","Flanders"
"ambulance",51.1826931,4.4237404,"Antwerpen","Antwerp","Flanders"
"ambulance",51.2059492,4.412103,"Antwerpen","Antwerp","Flanders"
"ambulance",51.222403,4.4351584,"Antwerpen","Antwerp","Flanders"
"ambulance",51.0173887,4.5602291,"Bonheiden","Antwerp","Flanders"
"ambulance",51.1001657,4.2320056,"Bornem","Antwerp","Flanders"
"ambulance",51.2997041,4.4890033,"Brasschaat","Antwerp","Flanders"
"ambulance",51.308509,4.5457484,"Brasschaat","Antwerp","Flanders"
"ambulance",51.1577655,4.4108501,"Edegem","Antwerp","Flanders"
"ambulance",51.1846342,4.8356473,"Herentals","Antwerp","Flanders"
"ambulance",51.2742932,4.6444488,"Malle","Antwerp","Flanders"
"ambulance",51.0487637,4.4793302,"Mechelen","Antwerp","Flanders"
"ambulance",50.8357176,4.3475625,"Bruxelles","Brussels","Brussels"
"ambulance",50.8519005,4.4603541,"Woluwe-Saint-Lambert","Brussels","Brussels"
"ambulance",50.805155,4.3685449,"Uccle","Brussels","Brussels"
"ambulance",50.8423838,4.3993125,"Etterbeek","Brussels","Brussels"
"ambulance",50.8907283,4.3080703,"Jette","Brussels","Brussels"
"ambulance",50.3733833,4.4674644,"Gerpinnes","Hainaut","Wallonia"
"ambulance",50.3619357,4.3642107,"Montigny-le-Tilleul","Hainaut","Wallonia"
"ambulance",50.9259632,5.3420969,"Hasselt","Limburg","Flanders"
"ambulance",50.8234022,5.1860706,"Sint-Truiden","Limburg","Flanders"
"ambulance",51.0492296,3.7002086,"Gent","East Flanders","Flanders"
"ambulance",51.0242346,3.7026408,"Gent","East Flanders","Flanders"
"ambulance",51.0618537,3.7215097,"Gent","East Flanders","Flanders"
"ambulance",51.0237443,3.7313248,"PFJ+FG Ghent","East Flanders","Flanders"
"ambulance",51.1012384,3.9998472,"Lokeren","East Flanders","Flanders"
"ambulance",50.8426069,3.6014671,"Oudenaarde","East Flanders","Flanders"
"ambulance",50.7461817,3.5997497,"Renaix","East Flanders","Flanders"
"ambulance",50.8643014,3.8165937,"Zottegem","East Flanders","Flanders"
"ambulance",50.988508,5.0509244,"Diest","Flemish Brabant","Flanders"
"ambulance",50.8723536,4.6998331,"Leuven","Flemish Brabant","Flanders"
"ambulance",50.8780791,4.6731993,"Leuven","Flemish Brabant","Flanders"
"ambulance",50.8639077,2.894177,"Ieper","West Flanders","Flanders"
"ambulance",50.9185774,3.211183,"Izegem","West Flanders","Flanders"
"ambulance",51.0621679,2.6685368,"Veurne","West Flanders","Flanders"
"ambulance",50.8999474,3.4182715,"Waregem","West Flanders","Flanders"
"ambulance",50.0124281,5.7224414,"Bastogne","Luxembourg","Wallonia"
"ambulance",49.9251785,5.3814012,"Libramont-Chevigny","Luxembourg","Wallonia"
"ambulance",50.2285032,5.3232379,"Marche-en-Famenne","Luxembourg","Wallonia"
"ambulance",50.6454281,5.4775191,"Grâce-Hollogne","Liege","Wallonia"
"ambulance",51.2365534,5.4770805,"Neerpelt","Limburg","Flanders"
"ambulance",50.7170595,4.8567275,"Geldenaken","Walloon Brabant","Wallonia"
"ambulance",50.5641805,4.4907038,"Villers-la-Ville","Walloon Brabant","Wallonia"
"ambulance",50.4055547,6.2516179,"Büllingen","Liege","Wallonia"
"ambulance",50.6204355,5.6013855,"Liège","Liege","Wallonia"
"ambulance",51.1521392,4.9845492,"Geel","Antwerp","Flanders"
"ambulance",50.8594819,4.3521899,"Bruxelles","Brussels","Brussels"
"ambulance",50.6860068,4.395409,"Braine-l'Alleud","Walloon Brabant","Wallonia"
"ambulance",50.6901666,4.1973583,"Tubize","Walloon Brabant","Wallonia"
"ambulance",50.6990584,4.6148261,"Wavre","Walloon Brabant","Wallonia"
"ambulance",50.4909798,5.7145851,"Aywaille","Liege","Wallonia"
"ambulance",50.4255161,5.5284297,"Hamoir","Liege","Wallonia"
"ambulance",50.5308662,5.2672369,"Huy","Liege","Wallonia"
"ambulance",50.6478461,5.8213157,"Herve","Liege","Wallonia"
"ambulance",50.4012961,5.9453535,"Stavelot","Liege","Wallonia"
"ambulance",50.5858941,5.8703653,"Verviers","Liege","Wallonia"
"ambulance",50.3906081,4.4173694,"Charleroi","Hainaut","Wallonia"
"ambulance",50.5737411,3.8586497,"Lens","Hainaut","Wallonia"
"ambulance",51.1050276,5.7503557,"Maaseik","Limburg","Flanders"
"ambulance",50.2532753,4.8979837,"Dinant","Namur","Wallonia"
"ambulance",51.0076947,3.8799267,"Wetteren","East Flanders","Flanders"
"ambulance",50.9079997,4.2098889,"Asse","Flemish Brabant","Flanders"
"ambulance",50.22138,5.3303017,"Marche-en-Famenne","Luxembourg","Wallonia"
"ambulance",49.9000041,5.1266042,"Paliseul","Luxembourg","Wallonia"
"ambulance",50.0256325,5.3596412,"Saint-Hubert","Luxembourg","Wallonia"
"ambulance",50.6748034,5.6336647,"Herstal","Liege","Wallonia"
"ambulance",50.6528879,5.5783562,"Liège","Liege","Wallonia"
"ambulance",50.6225226,5.6363809,"Liège","Liege","Wallonia"
"ambulance",50.8282977,5.2008548,"Sint-Truiden","Limburg","Flanders"
"pit",51.1010868,4.4127203,"Rumst","Antwerp","Flanders"
"pit",50.9860816,3.5280189,"Deinze","East Flanders","Flanders"
"pit",51.2223214,4.4350678,"Antwerpen","Antwerp","Flanders"
