type,latitude,longitude,city,province,region,geometry
ambulance,51.2246918,2.9061035,Oostende,West Flanders,Flanders,POINT (2.9061035 51.2246918)
mug,51.2187567,2.9339764,Oostende,West Flanders,Flanders,POINT (2.9339764 51.2187567)
