type,public,latitude,longitude,city,province,region,geometry
unknown,NA,51.1972024,3.1794755,Sint-Andries,West Flanders,Flanders,POINT (3.1794755 51.1972024)
unknown,NA,51.1830145,3.2094874,Sint-Michiels,West Flanders,Flanders,POINT (3.2094874 51.1830145)
unknown,NA,51.2000262,3.2101475,Sint-Andries,West Flanders,Flanders,POINT (3.2101475 51.2000262)
unknown,NA,51.2155776,3.2137483,Brugge,West Flanders,Flanders,POINT (3.2137483 51.2155776)
unknown,NA,51.2024863,3.1951204,Sint-Andries,West Flanders,Flanders,POINT (3.1951204 51.2024863)
unknown,NA,51.2015088,3.1797708,Sint-Andries,West Flanders,Flanders,POINT (3.1797708 51.2015088)
unknown,NA,51.225532,3.2045645,Brugge,West Flanders,Flanders,POINT (3.2045645 51.225532)
unknown,NA,51.2135764,3.2121154,Brugge,West Flanders,Flanders,POINT (3.2121154 51.2135764)
unknown,NA,51.1935603,3.2483778,Assebroek,West Flanders,Flanders,POINT (3.2483778 51.1935603)
unknown,NA,51.2187244,3.2458329,Assebroek,West Flanders,Flanders,POINT (3.2458329 51.2187244)
unknown,NA,51.2415985,3.2475221,Brugge,West Flanders,Flanders,POINT (3.2475221 51.2415985)
unknown,NA,51.2741103,3.2292609,Dudzele,West Flanders,Flanders,POINT (3.2292609 51.2741103)
unknown,NA,51.3301402,3.2133997,Dudzele,West Flanders,Flanders,POINT (3.2133997 51.3301402)
unknown,NA,51.2111728,3.1915055,Sint-Andries,West Flanders,Flanders,POINT (3.1915055 51.2111728)
unknown,NA,51.2022165,3.2247945,BRUGGE,West Flanders,Flanders,POINT (3.2247945 51.2022165)
unknown,NA,51.2084768,3.2255293,BRUGGE,West Flanders,Flanders,POINT (3.2255293 51.2084768)
unknown,NA,51.2110241,3.238696,Brugge,West Flanders,Flanders,POINT (3.238696 51.2110241)
unknown,NA,51.2110241,3.238696,BRUGGE,West Flanders,Flanders,POINT (3.238696 51.2110241)
unknown,NA,51.2110241,3.238696,BRUGGE,West Flanders,Flanders,POINT (3.238696 51.2110241)
unknown,NA,51.2110241,3.238696,BRUGGE,West Flanders,Flanders,POINT (3.238696 51.2110241)
unknown,NA,51.2086029,3.2643067,BRUGGE,West Flanders,Flanders,POINT (3.2643067 51.2086029)
unknown,NA,51.236646,3.1726185,Brugge,West Flanders,Flanders,POINT (3.1726185 51.236646)
unknown,NA,51.3163795,3.1849642,ZeebruggeBrugge),West Flanders,Flanders,POINT (3.1849642 51.3163795)
unknown,NA,51.3163795,3.1849642,ZeebruggeBrugge),West Flanders,Flanders,POINT (3.1849642 51.3163795)
unknown,NA,51.2459723,3.2010008,Brugge,West Flanders,Flanders,POINT (3.2010008 51.2459723)
unknown,NA,51.1972178,3.2140093,Brugge,West Flanders,Flanders,POINT (3.2140093 51.1972178)
unknown,NA,51.2086458,3.2261938,Brugge,West Flanders,Flanders,POINT (3.2261938 51.2086458)
unknown,NA,51.2167864,3.2241199,Brugge,West Flanders,Flanders,POINT (3.2241199 51.2167864)
unknown,1,51.3268396,3.2029996,Zeebrugge,West Flanders,Flanders,POINT (3.2029996 51.3268396)
unknown,1,51.214297,3.2512976,Sint-Kruis,West Flanders,Flanders,POINT (3.2512976 51.214297)
unknown,1,51.1853558,3.2172707,Sint-Michiels,West Flanders,Flanders,POINT (3.2172707 51.1853558)
unknown,1,51.2299337,3.2028416,Brugge,West Flanders,Flanders,POINT (3.2028416 51.2299337)
unknown,1,51.1991015,3.2006827,Sint-Andries,West Flanders,Flanders,POINT (3.2006827 51.1991015)
unknown,1,51.223267,3.2026518,Oostkamp,West Flanders,Flanders,POINT (3.2026518 51.223267)
unknown,1,51.2455633,3.2105889,Oostkamp,West Flanders,Flanders,POINT (3.2105889 51.2455633)
unknown,1,51.1930392,3.195088,Sint-Andries,West Flanders,Flanders,POINT (3.195088 51.1930392)
unknown,NA,51.1975746,3.2032764,Sint-Andries,West Flanders,Flanders,POINT (3.2032764 51.1975746)
