type,public,latitude,longitude,city,province,region,geometry
unknown,NA,50.8528664,4.7343369,Heverlee,Flemish Brabant,Flanders,POINT (4.7343369 50.8528664)
unknown,NA,50.8628119,4.6723105,Heverlee,Flemish Brabant,Flanders,POINT (4.6723105 50.8628119)
unknown,NA,50.8628119,4.6723105,Heverlee,Flemish Brabant,Flanders,POINT (4.6723105 50.8628119)
unknown,NA,50.8628119,4.6723105,Heverlee,Flemish Brabant,Flanders,POINT (4.6723105 50.8628119)
unknown,NA,50.8444703,4.7370091,Heverlee,Flemish Brabant,Flanders,POINT (4.7370091 50.8444703)
unknown,NA,50.8476117,4.7232384,Leuven,Flemish Brabant,Flanders,POINT (4.7232384 50.8476117)
unknown,NA,50.8830582,4.7054199,Leuven,Flemish Brabant,Flanders,POINT (4.7054199 50.8830582)
unknown,NA,50.8804127,4.7019874,Leuven,Flemish Brabant,Flanders,POINT (4.7019874 50.8804127)
unknown,NA,50.8450309,4.7311424,Leuven,Flemish Brabant,Flanders,POINT (4.7311424 50.8450309)
unknown,NA,50.8919154,4.7058934,Wilsele,Flemish Brabant,Flanders,POINT (4.7058934 50.8919154)
unknown,NA,50.8553066,4.728376,Leuven,Flemish Brabant,Flanders,POINT (4.728376 50.8553066)
unknown,NA,50.8553066,4.728376,Leuven,Flemish Brabant,Flanders,POINT (4.728376 50.8553066)
unknown,NA,50.8795773,4.7056545,Leuven,Flemish Brabant,Flanders,POINT (4.7056545 50.8795773)
unknown,NA,50.8809818,4.7086963,Leuven,Flemish Brabant,Flanders,POINT (4.7086963 50.8809818)
unknown,NA,50.885645,4.6775291,Leuven,Flemish Brabant,Flanders,POINT (4.6775291 50.885645)
unknown,NA,50.8791637,4.716279,Leuven,Flemish Brabant,Flanders,POINT (4.716279 50.8791637)
unknown,NA,50.8792458,4.6955393,Leuven,Flemish Brabant,Flanders,POINT (4.6955393 50.8792458)
unknown,NA,50.8774564,4.7137954,Leuven,Flemish Brabant,Flanders,POINT (4.7137954 50.8774564)
unknown,NA,50.8507187,4.7303674,Heverlee,Flemish Brabant,Flanders,POINT (4.7303674 50.8507187)
unknown,NA,50.8454605,4.7381287,Heverlee,Flemish Brabant,Flanders,POINT (4.7381287 50.8454605)
unknown,NA,50.8468318,4.7253871,Heverlee,Flemish Brabant,Flanders,POINT (4.7253871 50.8468318)
unknown,NA,50.8747859,4.7081308,Leuven,Flemish Brabant,Flanders,POINT (4.7081308 50.8747859)
unknown,NA,50.8624668,4.6861822,Heverlee,Flemish Brabant,Flanders,POINT (4.6861822 50.8624668)
unknown,NA,50.8627473,4.6753669,Heverlee,Flemish Brabant,Flanders,POINT (4.6753669 50.8627473)
unknown,NA,50.9233517,4.6956506,WijgmaalBt.),Flemish Brabant,Flanders,POINT (4.6956506 50.9233517)
unknown,NA,50.8655626,4.6765833,Heverlee,Flemish Brabant,Flanders,POINT (4.6765833 50.8655626)
unknown,NA,50.8508645,4.7153244,Heverlee,Flemish Brabant,Flanders,POINT (4.7153244 50.8508645)
unknown,NA,50.850768,4.729934,Heverlee,Flemish Brabant,Flanders,POINT (4.729934 50.850768)
unknown,1,50.8773581,4.698911,Hoegaarden,Flemish Brabant,Flanders,POINT (4.698911 50.8773581)
unknown,1,50.8789497,4.7045671,Leuven,Flemish Brabant,Flanders,POINT (4.7045671 50.8789497)
unknown,1,50.8810963,4.7052534,Brussel,Brussels,Brussels,POINT (4.7052534 50.8810963)
unknown,1,50.8741989,4.6903124,Lennik,Flemish Brabant,Flanders,POINT (4.6903124 50.8741989)
unknown,1,50.8503127,4.734019,Heverlee,Flemish Brabant,Flanders,POINT (4.734019 50.8503127)
unknown,1,50.854781,4.7203215,Leuven,Flemish Brabant,Flanders,POINT (4.7203215 50.854781)
unknown,1,50.8859605,4.7044962,Leuven,Flemish Brabant,Flanders,POINT (4.7044962 50.8859605)
unknown,1,50.8793,4.70037,Leuven,Flemish Brabant,Flanders,POINT (4.70037 50.8793)
unknown,1,50.8811427,4.704839,Heverlee,Flemish Brabant,Flanders,POINT (4.704839 50.8811427)
unknown,NA,50.8533608,4.7285531,Oud-Heverlee,Flemish Brabant,Flanders,POINT (4.7285531 50.8533608)
unknown,NA,50.8784211,4.712977,Leuven,Flemish Brabant,Flanders,POINT (4.712977 50.8784211)
unknown,NA,50.8617055,4.712295,Heverlee,Flemish Brabant,Flanders,POINT (4.712295 50.8617055)
unknown,NA,50.8528969,4.7255083,Heverlee,Flemish Brabant,Flanders,POINT (4.7255083 50.8528969)
unknown,NA,50.8815011,4.7096178,Leuven,Flemish Brabant,Flanders,POINT (4.7096178 50.8815011)
unknown,NA,50.9283047,4.7248107,Wilsele,Flemish Brabant,Flanders,POINT (4.7248107 50.9283047)
unknown,NA,50.8808153,4.7132325,Leuven,Flemish Brabant,Flanders,POINT (4.7132325 50.8808153)
unknown,NA,50.868071,4.6939597,Heverlee,Flemish Brabant,Flanders,POINT (4.6939597 50.868071)
unknown,NA,50.868071,4.6939597,Heverlee,Flemish Brabant,Flanders,POINT (4.6939597 50.868071)
unknown,1,50.8827386,4.714049,Leuven,Flemish Brabant,Flanders,POINT (4.714049 50.8827386)
unknown,1,50.9283047,4.7248107,Wisele,Flemish Brabant,Flanders,POINT (4.7248107 50.9283047)
unknown,1,50.8741756,4.7061156,Leuven,Flemish Brabant,Flanders,POINT (4.7061156 50.8741756)
unknown,1,50.8869565,4.7296864,Kessel-Lo,Flemish Brabant,Flanders,POINT (4.7296864 50.8869565)
unknown,1,50.8919487,4.7342712,Kessel-Lo,Flemish Brabant,Flanders,POINT (4.7342712 50.8919487)
unknown,1,50.8476423,4.737563,Leuven,Flemish Brabant,Flanders,POINT (4.737563 50.8476423)
unknown,1,50.8476423,4.737563,Leuven,Flemish Brabant,Flanders,POINT (4.737563 50.8476423)
unknown,1,50.8450309,4.7311424,Leuven,Flemish Brabant,Flanders,POINT (4.7311424 50.8450309)
unknown,1,50.8648678,4.667943,Heverlee,Flemish Brabant,Flanders,POINT (4.667943 50.8648678)
unknown,1,50.8958652,4.7062523,Leuven,Flemish Brabant,Flanders,POINT (4.7062523 50.8958652)
unknown,1,50.8654367,4.6710378,Heverlee,Flemish Brabant,Flanders,POINT (4.6710378 50.8654367)
unknown,1,50.8455664,4.7365227,Leuven,Flemish Brabant,Flanders,POINT (4.7365227 50.8455664)
fix,1,50.9306595,4.6974392,Wijgmaal,Flemish Brabant,Flanders,POINT (4.6974392 50.9306595)
fix,0,50.8457862,4.7220448,Heverlee,Flemish Brabant,Flanders,POINT (4.7220448 50.8457862)
fix,0,50.8465918,4.7164403,Leuven,Flemish Brabant,Flanders,POINT (4.7164403 50.8465918)
fix,0,50.845606,4.728627,Heverlee,Flemish Brabant,Flanders,POINT (4.728627 50.845606)
fix,0,50.845606,4.728627,Heverlee,Flemish Brabant,Flanders,POINT (4.728627 50.845606)
fix,0,50.8808505,4.7020005,Leuven,Flemish Brabant,Flanders,POINT (4.7020005 50.8808505)
fix,0,50.848691,4.7182558,Heverlee,Flemish Brabant,Flanders,POINT (4.7182558 50.848691)
fix,0,50.8851678,4.7007067,Leuven,Flemish Brabant,Flanders,POINT (4.7007067 50.8851678)
fix,0,50.8514371,4.7283621,Heverlee,Flemish Brabant,Flanders,POINT (4.7283621 50.8514371)
fix,1,50.9258595,4.7063333,Wijgmaal,Flemish Brabant,Flanders,POINT (4.7063333 50.9258595)
fix,1,50.868071,4.6939597,Heverlee,Flemish Brabant,Flanders,POINT (4.6939597 50.868071)
fix,1,50.868071,4.6939597,Heverlee,Flemish Brabant,Flanders,POINT (4.6939597 50.868071)
fix,1,50.868071,4.6939597,Heverlee,Flemish Brabant,Flanders,POINT (4.6939597 50.868071)
fix,1,50.8495093,4.7247521,Leuven,Flemish Brabant,Flanders,POINT (4.7247521 50.8495093)
fix,0,50.8758104,4.7080615,Leuven,Flemish Brabant,Flanders,POINT (4.7080615 50.8758104)
fix,0,50.8502816,4.727724,Leuven,Flemish Brabant,Flanders,POINT (4.727724 50.8502816)
fix,1,50.8742581,4.725275,Leuven,Flemish Brabant,Flanders,POINT (4.725275 50.8742581)
fix,0,50.877337,4.7095447,Leuven,Flemish Brabant,Flanders,POINT (4.7095447 50.877337)
fix,1,50.8758335,4.6611883,Heverlee,Flemish Brabant,Flanders,POINT (4.6611883 50.8758335)
fix,1,50.8557424,4.7316982,Heverlee,Flemish Brabant,Flanders,POINT (4.7316982 50.8557424)
fix,1,50.8846227,4.7009691,Wijgmaal (Leuven),Flemish Brabant,Flanders,POINT (4.7009691 50.8846227)
fix,1,50.8804127,4.7019874,Leuven,Flemish Brabant,Flanders,POINT (4.7019874 50.8804127)
fix,1,50.8510697,4.7183111,Heverlee,Flemish Brabant,Flanders,POINT (4.7183111 50.8510697)
fix,0,50.8507187,4.7303674,Leuven,Flemish Brabant,Flanders,POINT (4.7303674 50.8507187)
fix,1,50.8848768,4.7236695,KESSEL-LO,Flemish Brabant,Flanders,POINT (4.7236695 50.8848768)
fix,1,50.8826843,4.69863,LEUVEN,Flemish Brabant,Flanders,POINT (4.69863 50.8826843)
