type,public,latitude,longitude,city,province,region,geometry
unknown,1,50.6444942,5.5871983,Liège,Liege,Wallonia,POINT (5.5871983 50.6444942)
unknown,1,50.6463689,5.579793,Liège,Liege,Wallonia,POINT (5.579793 50.6463689)
unknown,1,50.6248855,5.5546617,Liège,Liege,Wallonia,POINT (5.5546617 50.6248855)
unknown,1,50.6194109,5.5758337,Liège,Liege,Wallonia,POINT (5.5758337 50.6194109)
unknown,1,50.6306172,5.5823268,Liège,Liege,Wallonia,POINT (5.5823268 50.6306172)
unknown,1,50.6216,5.61074,Grivegnée,Liege,Wallonia,POINT (5.61074 50.6216)
unknown,NA,50.6860587,5.6453848,Herstal,Liege,Wallonia,POINT (5.6453848 50.6860587)
unknown,NA,50.6537131,5.5286239,Ans,Liege,Wallonia,POINT (5.5286239 50.6537131)
unknown,NA,50.6154231,5.6912844,Fléron,Liege,Wallonia,POINT (5.6912844 50.6154231)
unknown,NA,50.6157466,5.5937472,Liège,Liege,Wallonia,POINT (5.5937472 50.6157466)
unknown,NA,50.6607331,5.5047096,Loncin,Liege,Wallonia,POINT (5.5047096 50.6607331)
unknown,NA,50.6607331,5.5047096,LONCIN,Liege,Wallonia,POINT (5.5047096 50.6607331)
unknown,NA,50.6607331,5.5047096,LONCIN,Liege,Wallonia,POINT (5.5047096 50.6607331)
unknown,NA,50.6124474,5.6782198,Fléron,Liege,Wallonia,POINT (5.6782198 50.6124474)
unknown,NA,50.6171386,5.6815095,Fléron,Liege,Wallonia,POINT (5.6815095 50.6171386)
unknown,NA,50.6607331,5.5047096,Ans,Liege,Wallonia,POINT (5.5047096 50.6607331)
unknown,NA,50.6607331,5.5047096,Ans,Liege,Wallonia,POINT (5.5047096 50.6607331)
unknown,NA,50.6053906,5.5748171,Angleur,Liege,Wallonia,POINT (5.5748171 50.6053906)
unknown,NA,50.656568,5.4495964,Voroux-Goreux,Liege,Wallonia,POINT (5.4495964 50.656568)
unknown,NA,50.6386827,5.5679667,Liège,Liege,Wallonia,POINT (5.5679667 50.6386827)
unknown,NA,50.6761579,5.6447648,Herstal,Liege,Wallonia,POINT (5.6447648 50.6761579)
unknown,NA,50.6770417,5.6503854,Liège,Liege,Wallonia,POINT (5.6503854 50.6770417)
unknown,NA,50.6591934,5.5064253,Loncin,Liege,Wallonia,POINT (5.5064253 50.6591934)
unknown,NA,50.571621,5.5582275,Angleur,Liege,Wallonia,POINT (5.5582275 50.571621)
unknown,NA,50.6710306,5.5375805,Liège,Liege,Wallonia,POINT (5.5375805 50.6710306)
unknown,NA,50.6731114,5.5974876,Vottem,Liege,Wallonia,POINT (5.5974876 50.6731114)
unknown,NA,50.5803483,5.4855238,Seraing,Liege,Wallonia,POINT (5.4855238 50.5803483)
unknown,NA,50.6036375,5.5894444,Angleur,Liege,Wallonia,POINT (5.5894444 50.6036375)
unknown,NA,50.6533432,5.582714,Liège,Liege,Wallonia,POINT (5.582714 50.6533432)
unknown,NA,50.657056,5.5692486,Liège,Liege,Wallonia,POINT (5.5692486 50.657056)
unknown,NA,50.574149,5.5348295,Boncelles,Liege,Wallonia,POINT (5.5348295 50.574149)
unknown,NA,50.634827,5.6428108,Liège,Liege,Wallonia,POINT (5.6428108 50.634827)
unknown,NA,50.6441707,5.5732376,Liège,Liege,Wallonia,POINT (5.5732376 50.6441707)
unknown,NA,50.6445481,5.5063427,Grâce-Hollogne,Liege,Wallonia,POINT (5.5063427 50.6445481)
unknown,NA,50.645226,5.6235255,Liège,Liege,Wallonia,POINT (5.6235255 50.645226)
unknown,NA,50.5948556,5.5379275,Ougrée,Liege,Wallonia,POINT (5.5379275 50.5948556)
unknown,NA,50.6401282,5.5240416,Saint-NicolasLg.),Liege,Wallonia,POINT (5.5240416 50.6401282)
unknown,NA,50.6465968,5.6045622,Liège,Liege,Wallonia,POINT (5.6045622 50.6465968)
unknown,NA,50.6103564,5.5858586,Angleur,Liege,Wallonia,POINT (5.5858586 50.6103564)
unknown,NA,50.6414343,5.5193668,Montegnée,Liege,Wallonia,POINT (5.5193668 50.6414343)
unknown,NA,50.6289688,5.6208079,GrivegnéeLiège),Liege,Wallonia,POINT (5.6208079 50.6289688)
unknown,NA,50.6513155,5.4869343,Grâce-Hollogne,Liege,Wallonia,POINT (5.4869343 50.6513155)
unknown,NA,50.634453,5.5469775,Liège,Liege,Wallonia,POINT (5.5469775 50.634453)
fix,1,50.6377514,5.4521589,Grâce-Hollogne,Liege,Wallonia,POINT (5.4521589 50.6377514)
unknown,NA,50.6954702,5.6264984,Herstal,Liege,Wallonia,POINT (5.6264984 50.6954702)
unknown,NA,50.6456222,5.5736201,Liège,Liege,Wallonia,POINT (5.5736201 50.6456222)
unknown,NA,50.6463689,5.579793,Liège,Liege,Wallonia,POINT (5.579793 50.6463689)
unknown,NA,50.6402835,5.5449077,Liège,Liege,Wallonia,POINT (5.5449077 50.6402835)
unknown,NA,50.6308351,5.5555423,Liège,Liege,Wallonia,POINT (5.5555423 50.6308351)
unknown,NA,50.5810952,5.5092364,Seraing,Liege,Wallonia,POINT (5.5092364 50.5810952)
unknown,NA,50.6956544,5.6109656,Herstal,Liege,Wallonia,POINT (5.6109656 50.6956544)
unknown,NA,50.6100438,5.5656076,Liège,Liege,Wallonia,POINT (5.5656076 50.6100438)
unknown,NA,50.66624,5.50521,Loncin,Liege,Wallonia,POINT (5.50521 50.66624)
unknown,NA,50.64028,5.57553,Liège,Liege,Wallonia,POINT (5.57553 50.64028)
unknown,NA,50.6350757,5.5628874,Liège,Liege,Wallonia,POINT (5.5628874 50.6350757)
unknown,NA,50.6350757,5.5628874,Liège,Liege,Wallonia,POINT (5.5628874 50.6350757)
unknown,NA,50.6954403,5.6164976,Herstal,Liege,Wallonia,POINT (5.6164976 50.6954403)
unknown,NA,50.6946711,5.5866081,Milmort,Liege,Wallonia,POINT (5.5866081 50.6946711)
